fold,test_document,requirement_uid,gold,tfidf_e5_weight,soft_vote_pred,review_union_pred,all_agree,all_wrong,at_least_one_correct,char_logistic_pred,char_logistic_p_통상수용,char_logistic_p_견적반영,char_logistic_p_계약·질의검토,word_char_logistic_pred,word_char_logistic_p_통상수용,word_char_logistic_p_견적반영,word_char_logistic_p_계약·질의검토,tfidf_e5_hybrid_pred,tfidf_e5_hybrid_p_통상수용,tfidf_e5_hybrid_p_견적반영,tfidf_e5_hybrid_p_계약·질의검토,soft_vote_p_통상수용,soft_vote_p_견적반영,soft_vote_p_계약·질의검토
0,ccrs_ai_platform,ccrs_ai_platform:CNR-001,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.3998956980639624,0.36301347007657125,0.23709083185946636,통상수용,0.4159635110881196,0.3573727696725012,0.22666371923937934,통상수용,0.3956448096173994,0.3640126400492188,0.2403425503333818,0.4038346729231605,0.3614662932660971,0.2346990338107425
0,ccrs_ai_platform,ccrs_ai_platform:CNR-002,통상수용,0.25,견적반영,견적반영,True,True,False,견적반영,0.3978341676651096,0.4434720560434931,0.15869377629139733,견적반영,0.37000101533527485,0.5054817419090932,0.1245172427556318,견적반영,0.4047059891034166,0.43975862760765205,0.15553538328893135,0.3908470573679337,0.46290414185341283,0.1462488007786535
0,ccrs_ai_platform,ccrs_ai_platform:COR-001,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.48041615806352733,0.1811175830061678,0.3384662589303049,통상수용,0.47973913425273296,0.15403320104827722,0.3662276646989899,통상수용,0.4814035295883547,0.17991081580946996,0.33868565460217537,0.4805196073015383,0.17168719995463833,0.34779319274382337
0,ccrs_ai_platform,ccrs_ai_platform:COR-002,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.590398141345518,0.1868543055478878,0.22274755310659416,통상수용,0.6855923909131887,0.14338130333470678,0.17102630575210445,통상수용,0.603487890963595,0.17919570158457798,0.21731640745182698,0.6264928077407672,0.16981043682239086,0.20369675543684188
0,ccrs_ai_platform,ccrs_ai_platform:COR-003,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.42033970503875334,0.16550559885705995,0.4141546961041867,통상수용,0.5271180665415418,0.14831708799346102,0.3245648454649972,통상수용,0.42839753445185247,0.16107501981699132,0.4105274457311563,0.4586184353440492,0.15829923555583744,0.38308232910011336
0,ccrs_ai_platform,ccrs_ai_platform:COR-004,계약·질의검토,0.25,계약·질의검토,계약·질의검토,True,False,True,계약·질의검토,0.3020384290248909,0.13764602575315554,0.5603155452219536,계약·질의검토,0.32957296785735435,0.10918195014595772,0.561245081996688,계약·질의검토,0.3058214316557591,0.1348571047316098,0.5593214636126311,0.31247760951266806,0.127228360210241,0.5602940302770909
0,ccrs_ai_platform,ccrs_ai_platform:COR-005,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.3680586568734445,0.28573209437270713,0.34620924875384845,통상수용,0.3815797984524445,0.2767727710429653,0.3416474305045902,통상수용,0.3802789386257992,0.27691739000352844,0.3428036713706724,0.3766391313172294,0.27980741847306695,0.3435534502097037
0,ccrs_ai_platform,ccrs_ai_platform:COR-006,견적반영,0.25,통상수용,통상수용,True,True,False,통상수용,0.4206442801163462,0.25100764693946526,0.32834807294418855,통상수용,0.4703762446201067,0.2350976038785364,0.2945261515013568,통상수용,0.4089910594622203,0.2569571229580136,0.33405181757976604,0.43333719473289106,0.24768745792533842,0.31897534734177047
0,ccrs_ai_platform,ccrs_ai_platform:COR-007,계약·질의검토,0.25,계약·질의검토,계약·질의검토,True,False,True,계약·질의검토,0.2472955151743834,0.22786072019699857,0.524843764628618,계약·질의검토,0.23636108926058355,0.20948439820930506,0.5541545125301115,계약·질의검토,0.24630864830534516,0.22466804256028686,0.5290233091343679,0.24332175091343736,0.22067105365553016,0.5360071954310325
0,ccrs_ai_platform,ccrs_ai_platform:COR-008,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.6355422877805463,0.13751880407362865,0.22693890814582507,통상수용,0.7031065671743142,0.10682918790559254,0.1900642449200932,통상수용,0.6423442645658685,0.13265484482458997,0.2250008906095415,0.660331039840243,0.12566761226793707,0.21400134789181993
0,ccrs_ai_platform,ccrs_ai_platform:DAR-002,통상수용,0.25,견적반영,견적반영,True,True,False,견적반영,0.39214114554869084,0.43096112769898176,0.1768977267523274,견적반영,0.42453023851761423,0.4370286660014247,0.13844109548096117,견적반영,0.40212742667811585,0.42520001243148575,0.17267256089039845,0.4062662702481403,0.4310632687106308,0.162670461041229
0,ccrs_ai_platform,ccrs_ai_platform:DAR-003,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.5160122146082623,0.24916656259723943,0.23482122279449819,통상수용,0.5491466355574183,0.25232208128147715,0.19853128316110455,통상수용,0.5312178350636999,0.24147628600505805,0.227305878931242,0.5321255617431269,0.24765497662792488,0.22021946162894823
0,ccrs_ai_platform,ccrs_ai_platform:DAR-004,통상수용,0.25,통상수용,통상수용,True,False,True,통상수용,0.6114212537214636,0.265140547086883,0.12343819919165343,통상수용,0.6914281356864286,0.23081389757323142,0.07775796674033991,통상수용,0.6216632219730653,0.2584023284478397,0.11993444957909494,0.6415042037936526,0.2514522577026514,0.10704353850369609
0,ccrs_ai_platform,ccrs_ai_platform:ECR-001,견적반영,0.25,계약·질의검토,계약·질의검토,True,True,False,계약·질의검토,0.2388003044323531,0.2626958002836609,0.498503895283986,계약·질의검토,0.23454477882351346,0.24810653499458676,0.5173486861818998,계약·질의검토,0.23383070386666946,0.26313717265457043,0.50303212347876,0.23572526237417868,0.25797983597760604,0.5062949016482153
0,ccrs_ai_platform,ccrs_ai_platform:ECR-002,통상수용,0.25,견적반영,견적반영,True,True,False,견적반영,0.21611125978360468,0.6225473072899652,0.1613414329264301,견적반영,0.21544981105409342,0.6521784852516657,0.13237170369424098,견적반영,0.21455403137648815,0.625019040145923,0.16042692847758877,0.21537170073806208,0.633248277562518,0.15138002169941997
0,ccrs_ai_platform,ccrs_ai_platform:ECR-003,계약·질의검토,0.25,견적반영,견적반영,True,True,False,견적반영,0.09127623808050879,0.5334553522860089,0.3752684096334823,견적반영,0.053940727838649415,0.5849904109407625,0.3610688612205881,견적반영,0.08714200303808328,0.5344495356583696,0.37840846130354694,0.07745298965241383,0.5509650996283804,0.37158191071920577
0,ccrs_ai_platform,ccrs_ai_platform:ECR-004,견적반영,0.25,견적반영,견적반영,True,False,True,견적반영,0.16392504819668632,0.6279889151122297,0.2080860366910841,견적반영,0.11517758582962608,0.7321888811023717,0.15263353306800226,견적반영,0.1597377134086257,0.6292085630957327,0.2110537234956416,0.14628011581164604,0.663128786436778,0.19059109775157598
0,ccrs_ai_platform,ccrs_ai_platform:ECR-006,계약·질의검토,0.25,계약·질의검토,계약·질의검토,True,False,True,계약·질의검토,0.08791625979920224,0.3899795381336155,0.5221042020671823,계약·질의검토,0.047012548766993775,0.3815114668484104,0.5714759843845958,계약·질의검토,0.08232547106932142,0.38837025985962914,0.5293042690710494,0.07241809321183915,0.38662042161388505,0.5409614851742759
0,ccrs_ai_platform,ccrs_ai_platform:ECR-007,견적반영,0.25,계약·질의검토,계약·질의검토,True,True,False,계약·질의검토,0.18874093973312916,0.3210889587549005,0.4901701015119703,계약·질의검토,0.15591465645657276,0.2913035707634293,0.552781772779998,계약·질의검토,0.18051938361275202,0.32108806213262986,0.49839255425461804,0.175058326600818,0.31116019721698657,0.5137814761821954
